timestamp_unix,timestamp_polar_ns,sample_index,x_mg,y_mg,z_mg,vm_mg
1778559744.008999,599616058365243566,252,-1053.0,104.0,111.0,1063.93
1778559744.048999,599616058405243566,252,-1014.0,60.0,125.0,1023.44
1778559744.088765,599616058425154552,288,-1024.0,0.0,82.0,1027.28
1778559744.128765,599616058465154552,288,-1011.0,-39.0,45.0,1012.75
1778559744.168765,599616058505154552,288,-997.0,-32.0,55.0,999.03
1778559744.208765,599616058545154552,288,-1004.0,-32.0,24.0,1004.8
1778559744.248765,599616058585154552,288,-1005.0,-12.0,24.0,1005.36
1778559744.288765,599616058625154552,288,-1016.0,24.0,22.0,1016.52
1778559744.328765,599616058665154552,288,-1015.0,-85.0,101.0,1023.55
1778559744.368765,599616058705154552,288,-1041.0,-189.0,77.0,1060.82
1778559744.408765,599616058745154552,288,-1026.0,9.0,41.0,1026.86
1778559744.448765,599616058785154552,288,-1047.0,80.0,125.0,1057.47
1778559744.488765,599616058825154552,288,-1106.0,91.0,103.0,1114.51
1778559744.528765,599616058865154552,288,-1014.0,75.0,68.0,1019.04
1778559744.568765,599616058905154552,288,-1015.0,69.0,56.0,1018.88
1778559744.608765,599616058945154552,288,-1015.0,44.0,93.0,1020.2
1778559744.648765,599616058985154552,288,-999.0,42.0,39.0,1000.64
1778559744.688765,599616059025154552,288,-1007.0,14.0,68.0,1009.39
1778559744.728765,599616059065154552,288,-1017.0,82.0,48.0,1021.43
1778559744.768765,599616059105154552,288,-1037.0,8.0,86.0,1040.59
1778559744.808765,599616059145154552,288,-1067.0,2.0,85.0,1070.38
1778559744.848765,599616059185154552,288,-1052.0,-9.0,92.0,1056.05
1778559744.888765,599616059225154552,288,-1106.0,11.0,89.0,1109.63
1778559744.928765,599616059265154552,288,-1016.0,36.0,82.0,1019.94
1778559744.968765,599616059305154552,288,-997.0,0.0,31.0,997.48
1778559745.008765,599616059345154552,288,-1003.0,-2.0,-15.0,1003.11
1778559745.048765,599616059385154552,288,-1010.0,-17.0,33.0,1010.68
1778559745.088765,599616059425154552,288,-959.0,-37.0,16.0,959.85
1778559745.128765,599616059465154552,288,-999.0,18.0,16.0,999.29
1778559745.168765,599616059505154552,288,-1018.0,-49.0,43.0,1020.09
1778559745.208765,599616059545154552,288,-1065.0,-47.0,61.0,1067.78
1778559745.248765,599616059585154552,288,-1078.0,-28.0,92.0,1082.28
1778559745.288765,599616059625154552,288,-1050.0,-49.0,50.0,1052.33
1778559745.328765,599616059665154552,288,-1037.0,-74.0,11.0,1039.7
1778559745.368765,599616059705154552,288,-1031.0,-32.0,21.0,1031.71
1778559745.408765,599616059745154552,288,-1017.0,98.0,37.0,1022.38
1778559745.448765,599616059785154552,288,-1017.0,85.0,29.0,1020.96
1778559745.488765,599616059825154552,288,-1009.0,66.0,36.0,1011.8
1778559745.528322,599616059845431766,324,-1015.0,48.0,13.0,1016.22
1778559745.568322,599616059885431766,324,-1007.0,52.0,46.0,1009.39
1778559745.608322,599616059925431766,324,-1065.0,-5.0,84.0,1068.32
1778559745.648322,599616059965431766,324,-1063.0,14.0,42.0,1063.92
1778559745.688322,599616060005431766,324,-1016.0,13.0,30.0,1016.53
1778559745.728322,599616060045431766,324,-1003.0,60.0,39.0,1005.55
1778559745.768322,599616060085431766,324,-1012.0,36.0,45.0,1013.64
1778559745.808322,599616060125431766,324,-1010.0,54.0,64.0,1013.47
1778559745.848322,599616060165431766,324,-1063.0,-18.0,1.0,1063.15
1778559745.888322,599616060205431766,324,-1000.0,-10.0,-13.0,1000.13
1778559745.928322,599616060245431766,324,-990.0,32.0,0.0,990.52
1778559745.968322,599616060285431766,324,-1019.0,32.0,23.0,1019.76
1778559746.008322,599616060325431766,324,-1046.0,20.0,14.0,1046.28
1778559746.048322,599616060365431766,324,-1040.0,16.0,32.0,1040.62
1778559746.088322,599616060405431766,324,-1037.0,12.0,59.0,1038.75
1778559746.128322,599616060445431766,324,-1023.0,12.0,21.0,1023.29
1778559746.168322,599616060485431766,324,-1019.0,55.0,1.0,1020.48
1778559746.208322,599616060525431766,324,-1058.0,62.0,33.0,1060.33
1778559746.248322,599616060565431766,324,-1041.0,102.0,14.0,1046.08
1778559746.288322,599616060605431766,324,-1006.0,108.0,13.0,1011.86
1778559746.328322,599616060645431766,324,-1014.0,121.0,40.0,1021.98
1778559746.368322,599616060685431766,324,-1016.0,126.0,31.0,1024.25
1778559746.408322,599616060725431766,324,-1000.0,101.0,-2.0,1005.09
1778559746.448322,599616060765431766,324,-1016.0,68.0,-10.0,1018.32
1778559746.488322,599616060805431766,324,-1034.0,66.0,11.0,1036.16
1778559746.528322,599616060845431766,324,-1028.0,62.0,71.0,1032.31
1778559746.568322,599616060885431766,324,-1019.0,42.0,31.0,1020.34
1778559746.608322,599616060925431766,324,-1012.0,39.0,15.0,1012.86
1778559746.648322,599616060965431766,324,-1020.0,42.0,45.0,1021.86
1778559746.688322,599616061005431766,324,-1024.0,47.0,57.0,1026.66
1778559746.728322,599616061045431766,324,-1026.0,52.0,43.0,1028.22
1778559746.768322,599616061085431766,324,-1018.0,38.0,44.0,1019.66
1778559746.808322,599616061125431766,324,-1016.0,19.0,9.0,1016.22
1778559746.848322,599616061165431766,324,-1014.0,22.0,12.0,1014.31
1778559746.888322,599616061205431766,324,-1013.0,-13.0,20.0,1013.28
1778559746.928322,599616061245431766,324,-1031.0,-17.0,-12.0,1031.21
1778559746.924186,599616061265800516,360,-1030.0,1.0,14.0,1030.1
1778559746.964186,599616061305800516,360,-1027.0,0.0,20.0,1027.19
1778559747.004186,599616061345800516,360,-1028.0,1.0,43.0,1028.9
1778559747.044186,599616061385800516,360,-1025.0,1.0,93.0,1029.21
1778559747.084186,599616061425800516,360,-1048.0,5.0,75.0,1050.69
1778559747.124186,599616061465800516,360,-1028.0,28.0,101.0,1033.33
1778559747.164186,599616061505800516,360,-1013.0,15.0,71.0,1015.6
1778559747.204186,599616061545800516,360,-988.0,-21.0,27.0,988.59
1778559747.244186,599616061585800516,360,-999.0,-31.0,133.0,1008.29
1778559747.284186,599616061625800516,360,-1043.0,22.0,25.0,1043.53
1778559747.324186,599616061665800516,360,-1015.0,3.0,96.0,1019.53
1778559747.364186,599616061705800516,360,-1030.0,-5.0,109.0,1035.76
1778559747.404186,599616061745800516,360,-1016.0,-4.0,109.0,1021.84
1778559747.444186,599616061785800516,360,-1017.0,-1.0,106.0,1022.51
1778559747.484186,599616061825800516,360,-1016.0,-29.0,115.0,1022.9
1778559747.524186,599616061865800516,360,-1019.0,-32.0,84.0,1022.96
1778559747.564186,599616061905800516,360,-1024.0,-31.0,83.0,1027.83
1778559747.604186,599616061945800516,360,-1021.0,-35.0,72.0,1024.13
1778559747.644186,599616061985800516,360,-1016.0,-50.0,70.0,1019.64
1778559747.684186,599616062025800516,360,-1021.0,-110.0,44.0,1027.85
